Id                  hcIdx   BaseId              NextInClass        TransLvl  NameStr
nihlathak           514     nihlathak                              0         Nihlathak Town
qual-kehk           515     qual-kehk                              0         Qual-Kehk
catapultspotter1    516     catapultspotter1    catapultspotter2   0         Catapult Spotter S
catapultspotter2    517     catapultspotter1    catapultspotter3   1         Catapult Spotter E
catapultspotter3    518     catapultspotter1    catapultspotter4   2         Catapult Spotter Siege
catapultspotter4    519     catapultspotter1                       3         Catapult Spotter W
cain6               520     cain6                                  0         DeckardCain
tyrael3             521     tyrael3                                0         tyrael
act5barb1           522     act5barb1                              0         Act 5 Combatant
act5barb2           523     act5barb2                              0         Act 5 Combatant
barricadewall1      524     barricadewall1      barricadewall2     0         Barricade Wall Right
barricadewall2      525     barricadewall1                         1         Barricade Wall Left
nihlathakboss       526     nihlathakboss                          0         Nihlathak
drehyaiced          527     drehyaiced                             0         Drehya
evilhut             528     evilhut                                0         Evil hut
deathmauler1        529     deathmauler1        deathmauler2       0         Death Mauler1
deathmauler2        530     deathmauler1        deathmauler3       1         Death Mauler2
deathmauler3        531     deathmauler1        deathmauler4       2         Death Mauler3
deathmauler4        532     deathmauler1        deathmauler5       3         Death Mauler4
deathmauler5        533     deathmauler1        deathmauler6       4         Death Mauler5
act5pow             534     act5pow                                0         POW
act5barb3           535     act5barb3           act5barb4          0         Act 5 Townguard
act5barb4           536     act5barb3                              1         Act 5 Townguard
ancientstatue1      537     ancientstatue1      ancientstatue2     0         Ancient Statue 1
ancientstatue2      538     ancientstatue1      ancientstatue3     1         Ancient Statue 2
ancientstatue3      539     ancientstatue1                         2         Ancient Statue 3
ancientbarb1        540     ancientbarb1        ancientbarb2       0         Ancient Barbarian 1
ancientbarb2        541     ancientbarb1        ancientbarb3       1         Ancient Barbarian 2
ancientbarb3        542     ancientbarb1                           2         Ancient Barbarian 3
baalthrone          543     baalthrone                             0         Baal Throne
baalcrab            544     baalcrab                               0         Baal Crab
baaltaunt           545     baaltaunt                              0         Baal Taunt
putriddefiler1      546     putriddefiler1      putriddefiler2     0         Putrid Defiler1
putriddefiler2      547     putriddefiler1      putriddefiler3     1         Putrid Defiler2
putriddefiler3      548     putriddefiler1      putriddefiler4     2         Putrid Defiler3
putriddefiler4      549     putriddefiler1      putriddefiler5     3         Putrid Defiler4
putriddefiler5      550     putriddefiler1                         4         Putrid Defiler5
painworm1           551     painworm1           painworm2          0         Pain Worm1
painworm2           552     painworm1           painworm3          1         Pain Worm2
painworm3           553     painworm1           painworm4          2         Pain Worm3
painworm4           554     painworm1           painworm5          3         Pain Worm4
painworm5           555     painworm1                              4         Pain Worm5
bunny               556     bunny                                  0         Bunny
baalhighpriest      557     baalhighpriest                         0         Council Member
venomlord           558     venomlord                              0         VenomLord
baalcrabstairs      559     baalcrabstairs                         0         Baal Crab to Stairs
act5hire1           560     act5hire1           act5hire2          0         Act 5 Hireling 1hs
act5hire2           561     act5hire1                              1         Act 5 Hireling 2hs
baaltentacle1       562     baaltentacle1       baaltentacle2      0         Baal Tentacle
baaltentacle2       563     baaltentacle1       baaltentacle3      1         Baal Tentacle
baaltentacle3       564     baaltentacle1       baaltentacle4      2         Baal Tentacle
baaltentacle4       565     baaltentacle1       baaltentacle5      3         Baal Tentacle
baaltentacle5       566     baaltentacle1                          4         Baal Tentacle
injuredbarb1        567     injuredbarb1                           0         Injured Barbarian 1
injuredbarb2        568     injuredbarb2                           0         Injured Barbarian 2
injuredbarb3        569     injuredbarb3                           0         Injured Barbarian 3
baalclone           570     baalclone                              0         Baal Crab Clone
baalminion1         571     baalminion1         baalminion2        0         Baals Minion
baalminion2         572     baalminion1         baalminion3        1         Baals Minion
baalminion3         573     baalminion1                            2         Baals Minion
worldstoneeffect    574     worldstoneeffect                       0         Worldstone Effect
sk_archer6          575     sk_archer1          sk_archer7         3         BurningDeadArcher
sk_archer7          576     sk_archer1          sk_archer8         2         BoneArcher
sk_archer8          577     sk_archer1          sk_archer9         3         BurningDeadArcher
sk_archer9          578     sk_archer1          sk_archer10        1         ReturnedArcher
sk_archer10         579     sk_archer1                             4         HorrorArcher
bighead6            580     bighead1            bighead7           4         Afflicted
bighead7            581     bighead1            bighead8           1         Tainted
bighead8            582     bighead1            bighead9           2         Misshapen
bighead9            583     bighead1            bighead10          3         Disfigured
bighead10           584     bighead1                               0         Damned
goatman6            585     goatman1            goatman7           0         MoonClan
goatman7            586     goatman1            goatman8           1         NightClan
goatman8            587     goatman1            goatman9           2         HellClan
goatman9            588     goatman1            goatman10          3         BloodClan
goatman10           589     goatman1                               4         DeathClan
foulcrow5           590     foulcrow1           foulcrow6          0         FoulCrow
foulcrow6           591     foulcrow1           foulcrow7          1         BloodHawk
foulcrow7           592     foulcrow1           foulcrow8          2         BlackRaptor
foulcrow8           593     foulcrow1                              3         CloudStalker
clawviper6          594     clawviper1          clawviper7         4         ClawViper
clawviper7          595     clawviper1          clawviper8         4         PitViper
clawviper8          596     clawviper1          clawviper9         0         Salamander
clawviper9          597     clawviper1          clawviper10        1         TombViper
clawviper10         598     clawviper1                             1         SerpentMagus
sandraider6         599     sandraider1         sandraider7        0         Marauder
sandraider7         600     sandraider1         sandraider8        1         Infidel
sandraider8         601     sandraider1         sandraider9        4         SandRaider
sandraider9         602     sandraider1         sandraider10       3         Invader
sandraider10        603     sandraider1                            2         Assailant
deathmauler6        604     deathmauler1                           0         Death Mauler1
quillrat6           605     quillrat1           quillrat7          0         QuillRat
quillrat7           606     quillrat1           quillrat8          1         SpikeFiend
quillrat8           607     quillrat1                              4         RazorSpine
vulture5            608     vulture1                               0         CarrionBird
thornhulk5          609     thornhulk1                             0         ThornedHulk
slinger7            610     slinger1            slinger8           0         Slinger
slinger8            611     slinger1            slinger9           1         Slinger
slinger9            612     slinger1                               1         Slinger
cr_archer6          613     cr_archer1          cr_archer7         1         VileArcher
cr_archer7          614     cr_archer1                             2         DarkArcher
cr_lancer6          615     cr_lancer1          cr_lancer7         1         VileLancer
cr_lancer7          616     cr_lancer1          cr_lancer8         2         DarkLancer
cr_lancer8          617     cr_lancer1                             3         BlackLancer
blunderbore5        618     blunderbore1        blunderbore6       0         Blunderbore
blunderbore6        619     blunderbore1                           2         Mauler
skmage_fire5        620     skmage_fire1        skmage_fire6       1         ReturnedMage
skmage_fire6        621     skmage_fire1                           3         BurningDeadMage
skmage_ltng5        622     skmage_ltng1        skmage_ltng6       1         ReturnedMage
skmage_ltng6        623     skmage_ltng1                           3         HorrorMage
skmage_cold5        624     skmage_cold1                           2         BoneMage
skmage_pois5        625     skmage_pois1        skmage_pois6       4         HorrorMage
skmage_pois6        626     skmage_pois1                           0         HorrorMage
pantherwoman5       627     pantherwoman1       pantherwoman6      0         Huntress
pantherwoman6       628     pantherwoman1                          1         SaberCat
sandleaper6         629     sandleaper1         sandleaper7        1         CaveLeaper
sandleaper7         630     sandleaper1                            3         TombCreeper
wraith6             631     wraith1             wraith7            0         Ghost
wraith7             632     wraith1             wraith8            0         Wraith
wraith8             633     wraith1                                0         Specter
succubus6           634     succubus1           succubus7          0         Succubusexp
succubus7           635     succubus1                              2         Hell Temptress
succubuswitch6      636     succubuswitch1      succubuswitch7     3         Dominus
succubuswitch7      637     succubuswitch1      succubuswitch8     4         Hell Witch
succubuswitch8      638     succubuswitch1                         1         VileWitch
willowisp5          639     willowisp1          willowisp6         0         Gloam
willowisp6          640     willowisp1          willowisp7         3         BlackSoul
willowisp7          641     willowisp1                             0         BurningSoul
fallen6             642     fallen1             fallen7            1         Carver
fallen7             643     fallen1             fallen8            2         Devilkin
fallen8             644     fallen1                                0         DarkOne
fallenshaman6       645     fallenshaman1       fallenshaman7      1         CarverShaman
fallenshaman7       646     fallenshaman1       fallenshaman8      2         DevilkinShaman
fallenshaman8       647     fallenshaman1                          0         DarkShaman
skeleton6           648     skeleton1           skeleton7          2         BoneWarrior
skeleton7           649     skeleton1                              1         Returned
batdemon6           650     batdemon1           batdemon7          1         Gloombat
batdemon7           651     batdemon1                              0         Fiend
bloodlord6          652     bloodlord1          bloodlord7         2         Blood Lord1
bloodlord7          653     bloodlord1                             3         Blood Lord4
scarab6             654     scarab1             scarab7            2         Scarab
scarab7             655     scarab1                                0         SteelWeevil
fetish6             656     fetish1             fetish7            1         Flayer
fetish7             657     fetish1             fetish8            0         StygianDoll
fetish8             658     fetish1                                2         SoulKiller
fetishblow6         659     fetishblow1         fetishblow7        1         Flayer
fetishblow7         660     fetishblow1         fetishblow8        0         StygianDoll
fetishblow8         661     fetishblow1                            2         SoulKiller
fetishshaman6       662     fetishshaman1       fetishshaman7      1         FlayerShaman
fetishshaman7       663     fetishshaman1       fetishshaman8      0         StygianDollShaman
fetishshaman8       664     fetishshaman1                          2         SoulKillerShaman
baboon7             665     baboon1             baboon8            4         TempleGuard
baboon8             666     baboon1                                3         TempleGuard
unraveler6          667     unraveler1          unraveler7         4         Guardian
unraveler7          668     unraveler1          unraveler8         2         Unraveler
unraveler8          669     unraveler1          unraveler9         4         Horadrim Ancient
unraveler9          670     unraveler1                             2         Horadrim Ancient
zealot4             671     zealot1             zealot5            1         Zealot
zealot5             672     zealot1                                2         Zealot
cantor5             673     cantor1             cantor6            1         Heirophant
cantor6             674     cantor1                                2         Heirophant
vilemother4         675     vilemother1         vilemother5        2         Grotesque
vilemother5         676     vilemother1                            0         FleshSpawner
vilechild4          677     vilechild1          vilechild5         2         GrotesqueWyrm
vilechild5          678     vilechild1                             0         FleshBeast
sandmaggot6         679     sandmaggot1                            4         WorldKiller
maggotbaby6         680     maggotbaby1                            4         WorldKillerYoung
maggotegg6          681     maggotegg1                             4         WorldKillerEgg
minion9             682     minion1             minion10           2         Slayerexp
minion10            683     minion1             minion11           3         HellSpawn
minion11            684     minion1                                2         GreaterHellSpawn
arach6              685     arach1                                 0         Arach
megademon4          686     megademon1          megademon5         0         Balrog
megademon5          687     megademon1                             0         PitLord
imp6                688     imp1                imp7               0         Imp1
imp7                689     imp1                                   3         Imp4
bonefetish6         690     bonefetish1         bonefetish7        2         Undead StygianDoll
bonefetish7         691     bonefetish1                            2         Undead SoulKiller
fingermage4         692     fingermage1         fingermage5        1         Strangler
fingermage5         693     fingermage1                            1         StormCaster
regurgitator4       694     regurgitator1                          2         MawFiend
vampire6            695     vampire1            vampire7           3         BloodLord
vampire7            696     vampire1            vampire8           0         GhoulLord
vampire8            697     vampire1                               3         DarkLord
reanimatedhorde6    698     reanimatedhorde1                       0         UnholyCorpse
dkfig1              699     doomknight1         dkfig2             0         DoomKnight
dkfig2              700     doomknight1                            0         DoomKnight
dkmag1              701     doomknight3         dkmag2             0         OblivionKnight
dkmag2              702     doomknight3                            0         OblivionKnight
mummy6              703     mummy1                                 3         Cadaver







================================================================================================
   AbyssKnight = 0x137,
    Act2Child = 0xc5,
    Act2Female = 0xc4,
    Act2Guard = 0xcb,
    Act2Guard3 = 0x166,
    Act2Guard4 = 0x179,
    Act2Guard5 = 0x17a,
    Act2Male = 0xc3,
    Act2Vendor = 0xcc,
    Act2Vendor2 = 0xcd,
    Act3Female = 0x128,
    Act3Male = 0x126,
    Act5Combatant = 0x20a,
    Act5Combatant2 = 0x20b,
    Act5Hireling1Hand = 560,
    Act5Hireling2Hand = 0x231,
    Act5Townguard = 0x217,
    Act5Townguard2 = 0x218,
    Afflicted = 10,
    Afflicted2 = 580,
    Akara = 0x94,
    AlbinoRoach = 0x5f,
    Alkor = 0xfe,
    AncientBarbarian = 540,
    AncientBarbarian2 = 0x21d,
    AncientBarbarian3 = 0x21e,
    AncientStatue = 0x219,
    AncientStatue2 = 0x21a,
    AncientStatue3 = 0x21b,
    Andariel = 0x9c,
    Anya = 0x200,
    Apparition = 0x29,
    Arach = 0x7a,
    Arach2 = 0x2ad,
    Arach3 = 0x2cd,
    Asheara = 0xfc,
    Assailant = 0x21,
    Assailant2 = 0x25b,
    Atma = 0xb0,
    BaalColdMage = 0x17d,
    BaalCrab = 0x220,
    BaalCrabClone = 570,
    BaalCrabToStairs = 0x22f,
    BaalsMinion = 0x23b,
    BaalsMinion2 = 0x23c,
    BaalsMinion3 = 0x23d,
    BaalSubjectMummy = 0x69,
    BaalTaunt = 0x221,
    BaalTentacle = 0x232,
    BaalTentacle2 = 0x233,
    BaalTentacle3 = 0x234,
    BaalTentacle4 = 0x235,
    BaalTentacle5 = 0x236,
    BaalThrone = 0x21f,
    Balrog = 360,
    Balrog2 = 0x2ae,
    Banished = 0x87,
    BarricadeDoor = 0x1b0,
    BarricadeDoor2 = 0x1b1,
    BarricadeTower = 0x1b3,
    BarricadeWallLeft = 0x20d,
    BarricadeWallRight = 0x20c,
    Bat = 0x9f,
    Bear = 0x1af,
    BerserkSlayer = 0x1ce,
    Bird = 0x9d,
    Bird2 = 0x9e,
    BlackArcher = 0xa3,
    BlackLancer = 0xa8,
    BlackLancer2 = 0x269,
    BlackLancer3 = 0x2d3,
    BlackLocusts = 0x58,
    BlackRaptor = 0x11,
    BlackRaptor2 = 0x250,
    BlackRogue = 0x2e,
    BlackSoul = 0x79,
    BlackSoul2 = 640,
    BlackVultureNest = 0xd0,
    BladeCreeper = 0x19d,
    BloodBoss = 0x1e2,
    BloodBringer = 0x1bb,
    BloodClan = 0x37,
    BloodClan2 = 0x24c,
    BloodDiver = 0x8b,
    BloodGolem = 290,
    BloodHawk = 0x10,
    BloodHawk2 = 0x24f,
    BloodHawkNest = 0xcf,
    BloodHook = 0x74,
    BloodHookNest = 0x150,
    BloodLord = 0x86,
    BloodLord2 = 0x1fa,
    BloodLord3 = 0x1fb,
    BloodLord4 = 0x1fc,
    BloodLord5 = 0x1fd,
    BloodLord6 = 510,
    BloodLord7 = 0x28c,
    BloodLord8 = 0x28d,
    BloodLord9 = 0x2b7,
    BloodMage = 0xde,
    BloodMage2 = 0xdf,
    BloodMage3 = 0xe0,
    BloodMage4 = 0xe1,
    BloodMage5 = 0xe2,
    Bloodraven = 0x10b,
    BloodTemptress = 0x1d9,
    BloodWing = 0x75,
    BloodWingNest = 0x151,
    BloodWitch = 0x1dd,
    Blunderbore = 0xba,
    Blunderbore2 = 0x26a,
    BogCreature = 0xf8,
    BoneArcher = 0xac,
    BoneArcher2 = 0x240,
    BoneMage = 0x113,
    BoneMage2 = 380,
    BoneMage3 = 0x180,
    BoneMage4 = 0x184,
    BoneMage5 = 0x270,
    BoneMage6 = 0x2d9,
    BonePrison = 340,
    BonePrison2 = 0x155,
    BonePrison3 = 0x156,
    BonePrison4 = 0x157,
    BoneWall = 0x158,
    BoneWarrior = 2,
    BoneWarrior2 = 0x288,
    BrambleHulk = 0x80,
    Brute = 0x18,
    Bug = 0x10c,
    Bunny = 0x22c,
    BurningDead = 3,
    BurningDeadArcher = 0xad,
    BurningDeadArcher2 = 0x23f,
    BurningDeadArcher3 = 0x241,
    BurningDeadMage = 0x114,
    BurningDeadMage2 = 0x181,
    BurningDeadMage3 = 0x185,
    BurningDeadMage4 = 0x26d,
    BurningDeadMage5 = 0x2d7,
    BurningSoul = 120,
    BurningSoul2 = 0x281,
    BurningSoul3 = 0x2dd,
    Cadaver = 100,
    Cadaver2 = 0x2bf,
    Camel = 0xb9,
    Cantor = 0xef,
    CarrionBird = 110,
    CarrionBird2 = 0x260,
    Carver = 20,
    Carver2 = 0x282,
    CarverShaman = 0x3b,
    CarverShaman2 = 0x285,
    CatapultE = 0x1f2,
    CatapultS = 0x1f1,
    CatapultSiege = 0x1f3,
    CatapultSpotterE = 0x205,
    CatapultSpotterS = 0x204,
    CatapultSpotterSiege = 0x206,
    CatapultSpotterW = 0x207,
    CatapultW = 500,
    CaveLeaper = 0x4f,
    CaveLeaper2 = 0x275,
    ChaosHorde = 0x6a,
    ChaosHorde2 = 0x6b,
    ChaosHorde3 = 0x6c,
    ChaosHorde4 = 0x6d,
    ChargedBoltSentry = 0x19b,
    Charsi = 0x9a,
    Chicken = 0x95,
    ClawViper = 0x4a,
    ClawViper2 = 0x252,
    ClayGolem = 0x121,
    CloudStalker = 0x12,
    CloudStalker2 = 0x251,
    CloudStalkerNest = 0xd1,
    CompellingOrb = 0x16e,
    ConsumedFireBoar = 0x1d0,
    ConsumedIceBoar = 0x1cf,
    CorpseSpitter = 0x134,
    Corpulent = 0x133,
    CouncilMember = 0x159,
    CouncilMember2 = 0x15a,
    CouncilMember3 = 0x15b,
    CouncilMemberBall = 0x22d,
    Cow = 0xb3,
    CrushBiest = 0x1ba,
    Crusher = 0x1a,
    Damned = 14,
    Damned2 = 0x248,
    DarkArcher = 0xa2,
    DarkArcher2 = 0x266,
    DarkArcher3 = 0x2d2,
    DarkFamiliar = 140,
    DarkGuard = 0xd9,
    DarkGuard2 = 0xda,
    DarkGuard3 = 0xdb,
    DarkGuard4 = 220,
    DarkGuard5 = 0xdd,
    DarkHunter = 0x2b,
    DarkLancer = 0xa7,
    DarkLancer2 = 0x268,
    DarkLord = 0x85,
    DarkLord2 = 0x2b9,
    DarkLord3 = 0x2db,
    DarkOne = 0x16,
    DarkOne2 = 0x284,
    DarkRanger = 160,
    DarkShaman = 0x3d,
    DarkShaman2 = 0x287,
    DarkShape = 0x2a,
    DarkSpearwoman = 0xa5,
    DarkStalker = 0x2d,
    DarkWanderer = 0x170,
    DeamonSteed = 0x1bd,
    DeathClan = 0x39,
    DeathClan2 = 0x24d,
    DeathMauler = 0x211,
    DeathMauler2 = 530,
    DeathMauler3 = 0x213,
    DeathMauler4 = 0x214,
    DeathMauler5 = 0x215,
    DeathMauler6 = 0x25c,
    DeathSentry = 0x1a0,
    Decayed = 0x61,
    DeckardCain = 0x92,
    DeckardCain2 = 0xf4,
    DeckardCain3 = 0xf5,
    DeckardCain4 = 0xf6,
    DeckardCain5 = 0x109,
    DeckardCain6 = 520,
    Decoy = 0x164,
    DefiledWarrior = 440,
    DemonHole = 0x2c7,
    DesertWing = 0x88,
    Devilkin = 0x15,
    Devilkin2 = 0x283,
    DevilkinShaman = 60,
    DevilkinShaman2 = 0x286,
    Devourer = 70,
    DevourerEgg = 0xc0,
    DevourerQueen = 0x11e,
    DevourerYoung = 0xb6,
    Diablo = 0xf3,
    DiabloClone = 0x14d,
    Disfigured = 13,
    Disfigured2 = 0x247,
    Dominus = 0x1da,
    Dominus2 = 0x27c,
    DoomApe = 0x33,
    DoomKnight = 310,
    DoomKnight2 = 0x2bb,
    DoomKnight3 = 700,
    Drehya2 = 0x20f,
    DriedCorpse = 0x60,
    Drognan = 0xb1,
    DrownedCarcass = 8,
    DruidBear = 0x1ac,
    DruidCycleOfLife = 0x1aa,
    DruidFenris = 0x1a5,
    DruidHawk = 0x1a3,
    DruidPlaguePoppy = 0x1a9,
    DruidSpiritWolf = 420,
    DuneBeast = 0x30,
    DungSoldier = 0x5b,
    Duriel = 0xd3,
    Eagle = 0x1ad,
    Elzix = 0xc7,
    Embalmed = 0x62,
    EvilHole = 0x141,
    EvilHole2 = 0x142,
    EvilHole3 = 0x143,
    EvilHole4 = 0x144,
    EvilHole5 = 0x145,
    EvilHut = 0x210,
    EvilHut2 = 710,
    Faithful = 0xec,
    Fallen = 0x13,
    FallenShaman = 0x3a,
    Familiar = 0x125,
    FanaticMinion = 0x1cd,
    Fara = 0xb2,
    Feeder = 0x73,
    FeederNest = 0x14f,
    Fetish = 0x8e,
    Fetish2 = 0x18d,
    FetishShaman = 0x117,
    Fiend = 0x89,
    Fiend2 = 0x28b,
    FireBeast = 230,
    FireBoar = 0x1c8,
    FireboltTrap = 0x146,
    FireGolem = 0x124,
    FireTower = 0x174,
    Fish = 320,
    FlameSpider = 0x7d,
    Flayer = 0x8f,
    Flayer2 = 0x18e,
    Flayer3 = 0x290,
    Flayer4 = 0x293,
    FlayerShaman = 280,
    FlayerShaman2 = 0x296,
    FleshArcher = 0xa4,
    FleshBeast = 0x12d,
    FleshBeast2 = 0x2a6,
    FleshHunter = 0x2f,
    FleshHunter2 = 0x2d1,
    FleshLancer = 0xa9,
    FleshSpawner = 0x12a,
    FleshSpawner2 = 0x2a4,
    FlyingScimitar = 0xea,
    FoulCrow = 15,
    FoulCrow2 = 590,
    FoulCrowNest = 0xce,
    FrenziedHellSpawn = 0x1d1,
    FrenziedIceSpawn = 0x1d2,
    FrozenHorror = 0x1f5,
    FrozenHorror2 = 0x1f6,
    FrozenHorror3 = 0x1f7,
    FrozenHorror4 = 0x1f8,
    FrozenHorror5 = 0x1f9,
    GargantuanBeast = 0x1c,
    GargoyleTrap = 0x111,
    Geglash = 200,
    Gheed = 0x93,
    Ghost = 0x26,
    Ghost2 = 0x277,
    Ghoul = 7,
    GhoulLord = 0x83,
    GhoulLord2 = 0x2b8,
    GiantLamprey = 0x47,
    GiantLampreyEgg = 0xc1,
    GiantLampreyQueen = 0x11f,
    GiantLampreyYoung = 0xb7,
    GiantUrchin = 0x13d,
    Gloam = 0x76,
    Gloam2 = 0x27f,
    Gloombat = 0x8a,
    Gloombat2 = 650,
    Gorbelly = 0xbb,
    GoreBearer = 0x1bc,
    Gorgon = 0x22,
    Gorgon2 = 0x23,
    Gorgon3 = 0x24,
    Gorgon4 = 0x25,
    GreaterHellSpawn = 0x1cb,
    GreaterHellSpawn2 = 0x2ac,
    GreaterIceSpawn = 460,
    Greiz = 0xc6,
    Griswold = 0x16d,
    Groper = 0x130,
    Grotesque = 300,
    Grotesque2 = 0x2a3,
    GrotesqueWyrm = 0x12f,
    GrotesqueWyrm2 = 0x2a5,
    Guard = 0x152,
    Guardian = 0x66,
    Guardian2 = 0x29b,
    Halbu = 0x101,
    HeartOfWolverine = 0x1a7,
    Heirophant = 240,
    Heirophant2 = 0xf1,
    Heirophant3 = 0x2a1,
    Heirophant4 = 0x2a2,
    HellBovine = 0x187,
    HellBuzzard = 0x70,
    HellCat = 0x56,
    HellClan = 0x38,
    HellClan2 = 0x24b,
    HellMeteor = 0x99,
    HellSlinger = 0x178,
    HellSpawn = 0x1c9,
    HellSpawn2 = 0x2ab,
    HellSwarm = 90,
    HellSwarm2 = 0x2cb,
    HellTemptress = 0x1d8,
    HellTemptress2 = 0x27b,
    HellTemptress3 = 0x2cf,
    HellWhip = 0x1e3,
    HellWhip2 = 0x2d4,
    HellWitch = 0x1de,
    HellWitch2 = 0x27d,
    Hephasto = 0x199,
    HollowOne = 0x65,
    HoradrimAncient = 0x68,
    HoradrimAncient2 = 0x29d,
    HoradrimAncient3 = 670,
    Horror = 4,
    HorrorArcher = 0xae,
    HorrorArcher2 = 0x243,
    HorrorArcher3 = 0x2d6,
    HorrorMage = 0x115,
    HorrorMage2 = 0x17e,
    HorrorMage3 = 0x182,
    HorrorMage4 = 390,
    HorrorMage5 = 0x26f,
    HorrorMage6 = 0x271,
    HorrorMage7 = 0x272,
    HorrorMage8 = 0x2d8,
    HorrorMage9 = 730,
    HorzMissileTrap = 0x147,
    Hratli = 0xfd,
    HungryDead = 6,
    Huntress = 0x53,
    Huntress2 = 0x273,
    Hydra = 0x15f,
    Hydra2 = 0x160,
    Hydra3 = 0x161,
    IceBoar = 0x1c7,
    IceGlobe = 0xe7,
    IceSpawn = 0x1ca,
    Imp = 0x1ec,
    Imp2 = 0x1ed,
    Imp3 = 0x1ee,
    Imp4 = 0x1ef,
    Imp5 = 0x1f0,
    Imp6 = 0x2b0,
    Imp7 = 0x2b1,
    Imp8 = 0x2ca,
    InfernoSentry = 0x19f,
    Infidel = 0x20,
    Infidel2 = 600,
    InjuredBarbarian = 0x237,
    InjuredBarbarian2 = 0x238,
    InjuredBarbarian3 = 0x239,
    InsaneHellSpawn = 0x1d3,
    InsaneIceSpawn = 0x1d4,
    Invader = 0x1f,
    Invader2 = 0x25a,
    Invalid = 0x2de,
    InvisiblePet = 0x19e,
    InvisoSpawner = 0x14c,
    IronGolem = 0x123,
    IronWolf = 0x167,
    Itchies = 0x57,
    Izual = 0x100,
    IzualGhost = 0x196,
    Jamella = 0x195,
    Jerhyn = 0xc9,
    JungleHunter = 50,
    JungleUrchin = 0x43,
    Kaelan = 0x14b,
    Kashya = 150,
    Larva = 0x11b,
    Larzuk = 0x1ff,
    Lasher = 480,
    LightningBeast = 0xe8,
    LightningSentry = 0x19c,
    LightningSpire = 0x173,
    LightningTrap = 330,
    Lilith = 0x2c3,
    Lysander = 0xca,
    Maggot = 0xe3,
    Malachai = 0x198,
    Malah = 0x201,
    Marauder = 30,
    Marauder2 = 0x257,
    Mauler = 0xbc,
    Mauler2 = 0x26b,
    MawFiend = 0x135,
    MawFiend2 = 0x2b6,
    MeleeTrap = 0x162,
    Mephisto = 0xf2,
    MephistoSpirit = 0x191,
    Meshif = 210,
    Meshif2 = 0x108,
    MinionBoarSpawner = 0x1e6,
    MinionBoarSpawner2 = 0x1e7,
    MinionBoarSpawner3 = 0x1e9,
    MinionBoarSpawner4 = 490,
    MinionExp = 0x1c5,
    MinionSlayerSpawner = 0x1e5,
    MinionSpawner = 0x1e4,
    MinionSpawnSpawner = 0x1e8,
    MinionSpawnSpawner2 = 0x1eb,
    MiniSpider = 0x153,
    Misshapen = 12,
    Misshapen2 = 0x246,
    MoonClan = 0x35,
    MoonClan2 = 0x249,
    MummyGenerator = 0xe4,
    Natalya = 0x129,
    Navi = 0x10a,
    NecroMage = 0x16c,
    NecroSkeleton = 0x16b,
    NightClan = 0x36,
    NightClan2 = 0x24a,
    NightLord = 0x84,
    NightMarauder = 0x127,
    NightSlinger = 0x177,
    NightSlinger2 = 0x18b,
    NightTiger = 0x55,
    Nihlathak = 0x20e,
    NihlathakTown = 0x202,
    NotApplicable = 0xffff,
    NovaTrap = 0x171,
    OakSage = 0x1a8,
    OblivionKnight = 0x138,
    OblivionKnight2 = 0x2bd,
    OblivionKnight3 = 0x2be,
    OblivionKnight4 = 0x2c9,
    Ormus = 0xff,
    OverLord = 0x1e1,
    OverSeer = 0x1df,
    PainWorm = 0x227,
    PainWorm2 = 0x228,
    PainWorm3 = 0x229,
    PainWorm4 = 0x22a,
    PainWorm5 = 0x22b,
    Parrot = 0x13f,
    PitLord = 0x169,
    PitLord2 = 0x2af,
    PitLord3 = 0x2c8,
    PitViper = 0x4c,
    PitViper2 = 0x253,
    PlagueBearer = 9,
    PlagueBugs = 0x59,
    PoisonCloudTrap = 0x149,
    PoisonOrb = 0xe9,
    PoisonSpinner = 0x7c,
    POW = 0x216,
    PreservedDead = 0x63,
    PrisonDoor = 0x1b2,
    ProwlingDead = 0x1b6,
    PutridDefiler = 0x222,
    PutridDefiler2 = 0x223,
    PutridDefiler3 = 0x224,
    PutridDefiler4 = 0x225,
    PutridDefiler5 = 550,
    QualKehk = 0x203,
    QuillBear = 0x139,
    QuillRat = 0x3f,
    QuillRat2 = 0x25d,
    Radament = 0xe5,
    Rat = 0x97,
    RatMan = 0x8d,
    RatMan2 = 0x18c,
    RatMan3 = 0x197,
    RatManShaman = 0x116,
    RazorBeast = 0x13c,
    RazorPitDemon = 0x52,
    RazorSpine = 0x42,
    RazorSpine2 = 0x25f,
    ReanimatedHorde = 0x1b5,
    Returned = 1,
    Returned2 = 0x289,
    Returned3 = 0x2d5,
    ReturnedArcher = 0xab,
    ReturnedArcher2 = 0x242,
    ReturnedMage = 0x112,
    ReturnedMage2 = 0x17b,
    ReturnedMage3 = 0x17f,
    ReturnedMage4 = 0x183,
    ReturnedMage5 = 620,
    ReturnedMage6 = 0x26e,
    RiverStalkerHead = 0x106,
    RiverStalkerLimb = 0x103,
    RockDweller = 0x31,
    RockWorm = 0x45,
    RockWormEgg = 0xbf,
    RockWormQueen = 0x11d,
    RockWormYoung = 0xb5,
    Rogue = 0x98,
    Rogue3 = 0x110,
    RogueHireling = 0x10f,
    RogueScout = 270,
    RotWalker = 0x1b4,
    SaberCat = 0x54,
    SaberCat2 = 0x274,
    Salamander = 0x4b,
    Salamander2 = 0x254,
    SandFisher = 0x7b,
